180920 122914.403|CONFIG|Thread-3|setFileHandlers|Now logging to /home/davi/Desktop/pc2/logs directory.
180920 122914.403|INFO|Thread-3|info|
180920 122914.404|INFO|Thread-3|info|Version 9.5.3 () Java ver 1.8.0_181 build 4653 Linux 4.15.0-34-generic (amd64) 
180920 122914.404|INFO|Thread-3|info|Login: team1 (aka team1)
180920 122914.404|INFO|Thread-3|startLog|Working directory is /home/davi/Desktop/pc2
180920 122914.404|INFO|Thread-3|startLog|Process id is 19205@desk20
180920 122914.405|INFO|Thread-3|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
180920 122914.424|INFO|Thread-3|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
180920 122914.866|INFO|Thread-3|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
180920 122914.867|INFO|Thread-3|info|handlePacket end Packet[LOGIN_SUCCESS] #96 SERVER0 @ site 1 -> TEAM1 @ site 1
180920 122914.867|INFO|Thread-3|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #96 SERVER0 @ site 1 -> TEAM1 @ site 1
