180920 175412.346|CONFIG|main|setFileHandlers|Now logging to /home/torikai/Documents/usp/uspSemestre6/Programacao_Concorrente/aula6/pc2/logs directory.
180920 175412.353|INFO|main|info|
180920 175412.357|INFO|main|info|Version 9.5.3 () Java ver 10.0.2 build 4653 Linux 4.15.0-34-generic (amd64) 
180920 175412.358|INFO|main|startLog|Working directory is /home/torikai/Documents/usp/uspSemestre6/Programacao_Concorrente/aula6/pc2
180920 175412.416|INFO|main|startLog|Process id is 9476@torikai-S400CA
180920 175412.417|INFO|main|start|Starting ConnectionManager...
180920 175412.497|INFO|main|start|Started ConnectionManager
180920 175412.499|INFO|main|setClientServerAndPort|INIFile File location: file:/home/torikai/Documents/usp/uspSemestre6/Programacao_Concorrente/aula6/pc2/pc2v9.ini
180920 175412.500|INFO|main|setClientServerAndPort|setClientServerAndPort 104.197.113.229 parsed as 104.197.113.229 port 50002
180920 175412.500|INFO|main|info|Contacting server at 104.197.113.229:50002
180920 175412.501|INFO|main|connectToMyServer|Connecting to 104.197.113.229:50002
